City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,yamada,39.4667,141.95,24.82,94,78,2.93,JP,1692378112
342,merritt island,28.5392,-80.672,35.12,68,0,3.09,US,1692378048
343,kailua-kona,19.6406,-155.9956,25.98,77,40,2.57,US,1692377720
344,boguchany,58.3814,97.4531,11.65,98,96,2.24,RU,1692378114
345,huilong,31.8111,121.655,27.74,82,55,3.91,CN,1692378115
346,mandideep,23.0817,77.5333,24.49,96,99,4.01,IN,1692378116
347,haflong,25.1833,93.0333,23.88,99,97,1.1,IN,1692378116
348,dwarka,22.2394,68.9678,26.84,80,100,7.94,IN,1692378117
349,shenandoah,30.4013,-91.0009,36.7,48,0,0.89,US,1692378117
350,betio village,1.358,172.9211,27.02,74,97,3.52,KI,1692378118
351,xuddur,4.1213,43.8894,28.49,34,29,5.03,SO,1692378119
352,egilsstadir,65.2653,-14.3948,13.95,72,75,6.69,IS,1692378120
353,ulanhot,46.0833,122.0833,16.43,64,0,1.75,CN,1692378121
354,gisborne,-38.6533,178.0042,5.77,82,6,3.45,NZ,1692377634
355,newport,51.5877,-2.9984,21.91,90,100,6.08,GB,1692378072
356,horta,38.5333,-28.6333,25.8,69,20,5.14,PT,1692378125
357,ola,59.5833,151.2833,11.75,84,88,2.01,RU,1692378126
358,saudarkrokur,65.7461,-19.6394,13.42,77,100,1.46,IS,1692378126
359,belle fourche,44.6714,-103.8522,34.47,22,26,7.72,US,1692378127
360,waat,51.1454,6.4958,30.51,71,0,1.54,DE,1692378128
361,yeppoon,-23.1333,150.7333,18.88,34,47,7.88,AU,1692378129
